,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2332,9.2,18.0,34.9,38.0
A地区,205,10.7,15.6,34.6,39.0
B地区,388,7.0,16.8,34.5,41.8
C地区,196,12.8,18.4,38.8,30.1
D地区,362,5.2,18.5,33.1,43.1
E地区,350,10.3,21.7,34.9,33.1
F地区,225,6.7,16.4,37.3,39.6
G地区,342,9.1,13.7,32.7,44.4
H地区,264,14.8,22.3,36.0,26.9
