,,,問7(6).お年寄りには、尊敬と感謝の気持ちをもって接している／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6695,2636,2664,1110,285,73
全体,,構成比（％）,100.0,39.4,39.8,16.6,4.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2258,1052,790,315,101,36
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,46.6,35.0,14.0,4.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1158,514,411,178,55,24
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,44.4,35.5,15.4,4.7,
小中高校生別×男女別,小学生-女子,回答者数（人）,1100,538,379,137,46,12
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,48.9,34.5,12.5,4.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2492,1036,967,379,110,26
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,41.6,38.8,15.2,4.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,515,465,210,76,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,40.7,36.7,16.6,6.0,
小中高校生別×男女別,中学生-女子,回答者数（人）,1226,521,502,169,34,15
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,42.5,40.9,13.8,2.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1852,508,882,392,70,10
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,27.4,47.6,21.2,3.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,220,361,190,45,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,27.0,44.2,23.3,5.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1036,288,521,202,25,5
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,27.8,50.3,19.5,2.4,
