,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6673,4.2,16.3,34.2,45.3
男子全体,3228,4.9,16.9,34.6,43.6
小学生男子,1153,4.5,10.3,28.7,56.5
中学生男子,1263,6.7,19.8,34.0,39.6
高校生男子,812,2.6,21.7,44.1,31.7
女子全体,3353,3.6,15.7,34.0,46.6
小学生女子,1089,4.1,10.4,25.0,60.5
中学生女子,1227,4.4,18.8,34.0,42.8
高校生女子,1037,2.1,17.7,43.6,36.5
