,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,先輩,地域の大人,スクールカウンセラー,学校以外の相談窓口,その他,いない,不明
全体,,回答者数（人）,6210,849,138,512,108,158,428,558
全体,,構成比（％）,100.0,13.7,2.2,8.2,1.7,2.5,6.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2107,156,65,366,52,42,114,187
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,7.4,3.1,17.4,2.5,2.0,5.4,
小中高校生別×男女別,小学生-男子,回答者数（人）,1062,93,38,148,24,18,80,120
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.8,3.6,13.9,2.3,1.7,7.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1045,63,27,218,28,24,34,67
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,6.0,2.6,20.9,2.7,2.3,3.3,
小中高校生別×男女別,中学生-全体,回答者数（人）,2284,435,52,112,41,68,186,234
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,19.0,2.3,4.9,1.8,3.0,8.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1127,198,43,45,29,35,129,150
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,17.6,3.8,4.0,2.6,3.1,11.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1157,237,9,67,12,33,57,84
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,20.5,0.8,5.8,1.0,2.9,4.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1744,247,19,26,14,45,122,118
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,14.2,1.1,1.5,0.8,2.6,7.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,760,89,14,17,9,22,72,61
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,11.7,1.8,2.2,1.2,2.9,9.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,984,158,5,9,5,23,50,57
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,16.1,0.5,0.9,0.5,2.3,5.1,
