,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6566,57.0,16.7,21.2,5.1
男子全体,3156,58.3,16.2,19.7,5.8
小学生男子,1109,64.4,17.6,15.1,2.9
中学生男子,1243,56.6,16.0,20.2,7.2
高校生男子,804,52.5,14.6,25.4,7.6
女子全体,3319,55.6,17.2,22.9,4.3
小学生女子,1078,62.2,20.0,14.9,2.9
中学生女子,1223,51.2,15.6,27.6,5.6
高校生女子,1018,54.1,16.0,25.6,4.2
