,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6717,8.4,18.5,41.7,31.4
男子全体,3245,11.6,20.8,38.0,29.6
小学生男子,1163,11.7,18.3,35.1,34.9
中学生男子,1266,12.6,23.8,37.8,25.8
高校生男子,816,9.8,19.6,42.4,28.2
女子全体,3381,5.3,16.3,45.4,33.0
小学生女子,1105,5.6,14.3,41.1,39.0
中学生女子,1236,5.4,17.7,46.1,30.7
高校生女子,1040,4.8,16.6,49.2,29.3
