,,,問5(1).あなたは、はきはきとした気持ちのよいあいさつをする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6721,1651,3796,1126,148,47
全体,,構成比（％）,100.0,24.6,56.5,16.8,2.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2271,722,1201,303,45,23
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,31.8,52.9,13.3,2.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1165,382,618,135,30,17
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,32.8,53.0,11.6,2.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1106,340,583,168,15,6
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,30.7,52.7,15.2,1.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2504,584,1406,446,68,14
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,23.3,56.2,17.8,2.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,314,684,225,45,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,24.8,53.9,17.7,3.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1236,270,722,221,23,5
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,21.8,58.4,17.9,1.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,319,1141,362,33,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,17.2,61.5,19.5,1.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,145,470,181,20,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,17.8,57.6,22.2,2.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1039,174,671,181,13,2
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,16.7,64.6,17.4,1.3,
