,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2093,9.1,17.6,33.4,39.9
A地区,166,12.7,15.7,38.0,33.7
B地区,366,9.0,18.0,34.4,38.5
C地区,259,13.1,22.0,31.7,33.2
D地区,301,11.6,19.6,35.9,32.9
E地区,243,5.8,17.3,32.9,44.0
F地区,273,9.2,22.7,35.9,32.2
G地区,191,5.8,9.9,27.7,56.5
H地区,294,5.8,12.9,30.3,51.0
