,n（人）,参加している（％）,以前、参加していた（％）,今も以前も参加していない（％）
全体,2206,28.6,37.9,33.4
A地区,191,24.6,40.3,35.1
B地区,372,29.3,40.1,30.6
C地区,176,29.5,27.3,43.2
D地区,347,30.5,40.1,29.4
E地区,327,22.9,33.0,44.0
F地区,221,33.9,43.4,22.6
G地区,323,28.5,37.5,34.1
H地区,249,30.5,39.8,29.7
