,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6695,39.4,39.8,16.6,4.3
男子全体,3240,38.5,38.2,17.8,5.4
小学生男子,1158,44.4,35.5,15.4,4.7
中学生男子,1266,40.7,36.7,16.6,6.0
高校生男子,816,27.0,44.2,23.3,5.5
女子全体,3362,40.1,41.7,15.1,3.1
小学生女子,1100,48.9,34.5,12.5,4.2
中学生女子,1226,42.5,40.9,13.8,2.8
高校生女子,1036,27.8,50.3,19.5,2.4
