,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,3996,4.8,7.9,30.4,57.0
男子全体,1972,4.9,7.4,27.6,60.0
小学生男子,761,3.5,6.0,21.9,68.5
中学生男子,778,6.6,7.1,30.3,56.0
高校生男子,433,4.4,10.4,32.8,52.4
女子全体,1974,4.6,8.3,33.3,53.9
小学生女子,661,4.8,7.3,22.4,65.5
中学生女子,757,5.3,7.7,34.2,52.8
高校生女子,556,3.2,10.3,45.0,41.5
