,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,2175,32.6,51.6,12.6,3.2
A地区,189,27.5,51.9,16.4,4.2
B地区,361,37.7,50.1,10.0,2.2
C地区,180,30.0,53.3,14.4,2.2
D地区,341,29.6,55.1,13.2,2.1
E地区,330,33.0,50.0,14.2,2.7
F地区,223,29.6,51.6,13.5,5.4
G地区,314,34.4,53.8,8.9,2.9
H地区,237,35.4,46.4,12.7,5.5
