,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2326,6.2,12.0,34.9,46.9
A地区,204,8.3,10.8,29.4,51.5
B地区,387,5.4,12.4,32.3,49.9
C地区,196,7.7,12.8,38.3,41.3
D地区,362,2.8,12.2,38.4,46.7
E地区,347,6.1,10.7,33.7,49.6
F地区,225,5.3,8.0,40.0,46.7
G地区,341,5.9,10.9,33.4,49.9
H地区,264,10.6,17.8,34.8,36.7
