,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2096,5.0,5.7,22.1,67.2
A地区,167,7.2,6.0,21.0,65.9
B地区,367,4.4,5.4,20.4,69.8
C地区,259,6.9,6.6,21.2,65.3
D地区,302,5.3,7.9,23.5,63.2
E地区,243,3.7,4.5,23.9,67.9
F地区,272,4.4,5.5,22.4,67.6
G地区,191,4.7,3.1,20.9,71.2
H地区,295,4.1,5.4,23.4,67.1
