,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2157,5.1,10.1,31.3,53.5
A地区,166,7.2,10.2,33.1,49.4
B地区,381,5.0,7.1,31.0,57.0
C地区,261,4.2,10.3,29.5,55.9
D地区,317,6.0,10.7,34.1,49.2
E地区,251,4.8,8.4,31.1,55.8
F地区,281,3.9,12.1,34.9,49.1
G地区,200,6.0,11.0,29.5,53.5
H地区,300,4.3,11.7,27.7,56.3
