,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6690,64.2,18.5,9.2,8.1
男子全体,3233,61.0,18.3,11.0,9.7
小学生男子,1157,66.1,13.0,8.9,12.0
中学生男子,1262,62.4,17.3,11.4,9.0
高校生男子,814,51.5,27.6,13.4,7.5
女子全体,3364,67.2,18.7,7.7,6.4
小学生女子,1099,77.6,11.1,4.2,7.1
中学生女子,1228,67.5,18.4,7.7,6.4
高校生女子,1037,55.8,27.1,11.3,5.8
