,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6574,14.7,26.6,33.1,25.6
男子全体,3160,18.1,26.4,29.7,25.8
小学生男子,1116,11.7,17.6,32.4,38.3
中学生男子,1240,22.8,27.9,27.9,21.4
高校生男子,804,19.8,36.3,28.7,15.2
女子全体,3323,11.3,26.7,36.6,25.4
小学生女子,1077,6.9,17.5,35.4,40.3
中学生女子,1225,13.2,28.2,38.1,20.5
高校生女子,1021,13.7,34.7,36.0,15.6
