歳計現金等,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和３年度
(A)","令和２年度
(B)","対前年度比
(A-B)"
平均残高,9332,16941,9027,12143,11866,8795,3071
利回り,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,-0.002
運用収入,259,525,245,396,1424,2208,-784
