基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
３年度第１四半期,,27065,16837,0.622,5755,0.213,1063,0.039,3411,0.126
第２四半期,,26979,15904,0.589,6018,0.223,1318,0.049,3739,0.139
第３四半期,,26580,15150,0.57,5986,0.225,1361,0.051,4083,0.154
第４四半期,,26115,13869,0.531,6103,0.234,1275,0.049,4868,0.186
４年度第１四半期,,25766,14377,0.558,5693,0.221,1259,0.049,4436,0.172
