準公営企業会計資金,,,,,
,,,,,
,"令和５年度
第1四半期(A)","令和４年度
第4四半期(B)","対前期比
(A-B)","（参考）令和４年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,8802,8873,-71,9352,-550
利回り,0.00008,0.00007,0.001,0.00007,0.001
運用収入,1681,1608,73,1589,92
