全体,,,,,
,,,,,
,"令和３年度
第3四半期(A)","令和３年度
第2四半期(B)","対前期比
(A-B)","（参考）令和２年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,54623,62907,-8284,56352,-1729
利回り,0.00035,0.00029,0.006,0.00037,-0.002
運用収入,47614,45293,2321,52787,-5173
