準公営企業会計資金,,,,,
,,,,,
,"令和４年度
第1四半期(A)","令和３年度
第4四半期(B)","対前期比
(A-B)","（参考）令和３年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,9352,9060,292,8801,551
利回り,0.00007,0.00007,0,0.00008,-0.001
運用収入,1589,1612,-23,1656,-67
