基金,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和元年度
(A)","平成30年度
(B)","対前年度比
(A-B)"
平均残高,40376,39872,39314,38674,39559,40977,-1418
利回り,0.00054,0.00052,0.00055,0.00053,0.00054,0.00054,0.00000
運用収入,54816,52251,54791,50628,212486,221204,-8718
