準公営企業会計資金,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和４年度
(A)","令和３年度
(B)","対前年度比
(A-B)"
平均残高,9352,8762,8882,8873,8967,8982,-15
利回り,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0
運用収入,1589,1636,1657,1608,6490,6689,-199
