基金,,,,,
,,,,,
,"令和３年度
第3四半期(A)","令和３年度
第2四半期(B)","対前期比
(A-B)","（参考）令和２年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,36538,36958,-420,40699,-4161
利回り,0.0005,0.00046,0.004,0.00049,0.001
運用収入,45687,43030,2657,50503,-4816
