歳計現金等,,,,,
,"令和２年度
第1四半期(A)","令和元年度
第4四半期(B)","対前期比
(A-B)","（参考）令和元年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,10716,15921,-5205,9212,1504
利回り,0.00004,0.00008,-0.004,0.00004,0
運用収入,1063,3132,-2069,897,166
