表‐3　基金一覧及び平均残高見込み,,,
,,,
基　金　名,平均残高,基　金　名,平均残高
都市外交人材育成基金,37,後期高齢者医療財政安定化基金,212
災害救助基金,97,安心こども基金,144
東京都尖閣諸島寄附金による尖閣諸島活用基金,14,医療施設耐震化臨時特例基金,1
財政調整基金,"5,331",地域医療介護総合確保基金,362
社会資本等整備基金,"4,423",福祉先進都市実現基金,"2,140"
東京オリンピック・パラリンピック開催準備基金,240,農業構造改革支援基金 ※,0
防災街づくり基金,485,おもてなし・観光基金,5
人に優しく快適な街づくり基金,23,無電柱化推進基金,86
芸術文化振興基金,3,スマート東京推進基金,448
障害者スポーツ振興基金,7,東京強靱化推進基金,"2,516"
鉄道新線建設等準備基金,866,東京二〇二〇大会レガシー基金,"1,245"
緑あふれる東京基金,242,新築建築物再生可能エネルギー設備設置等推進基金,"1,254"
公害健康被害予防基金,4,減債基金,"13,450"
花と緑の東京募金基金,1,心身障害者扶養年金基金,257
ゼロエミッション東京推進基金,296,国民健康保険財政安定化基金,37
介護保険財政安定化基金,36,計（31基金）,"34,260"
,,,
※　農業構造改革支援基金の平均残高見込みは約15百万円,,,
