歳計現金等,,,,,,,
,,,,,,,
,"令和４年度
第1四半期(A)","令和３年度
第4四半期(B)","対前期比
(A-B)","（参考）令和３年度
第1四半期(C)","対前年同期比
(A-C)",,
平均残高,9084,12143,-3059,9332,-248,,
利回り,0.00001,0.00001,0,0.00001,0,,
運用収入,276,396,-120,259,17,,
