表-１　平均残高見込み,,,,
,,,,
　区　分,歳計現金等,基　金,準公営企業会計資金,合　計
３年度実績見込み,"1兆1,500億円","3兆7,500億円","9,000億円","5兆8,000億円"
４年度見込み,"8,000億円","3兆1,400億円","9,000億円","4兆8,400億円"
