全体,,,,,
,,,,,
,"令和４年度
第3四半期(A)","令和４年度
第2四半期(B)","対前期比
(A-B)","（参考）令和３年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,59075,62323,-3248,54623,4452
利回り,0.00032,0.00027,0.005,0.00035,-0.003
運用収入,47039,43008,4031,47614,-575
