準公営企業会計資金,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和３年度
(A)","令和２年度
(B)","対前年度比
(A-B)"
平均残高,8801,9007,9058,9060,8982,9612,-630
利回り,0.00008,0.00008,0.00007,0.00007,0.00007,0.00008,-0.001
運用収入,1656,1738,1682,1612,6689,7524,-835
