歳計現金等,,,,,
,,,,,
,"令和５年度
第1四半期(A)","令和４年度
第4四半期(B)","対前期比
(A-B)","（参考）令和４年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,13576,17373,-3797,9084,4492
利回り,0.00001,0.00001,0,0.00001,0
運用収入,392,638,-246,276,116
