基金,,,,,
,,,,,
,"令和２年度
第3四半期(A)","令和２年度
第2四半期(B)","対前期比
(A-B)","（参考）令和元年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,40699,40707,-8,39314,1385
利回り,0.00049,0.00047,0.002,0.00055,-0.006
運用収入,50503,47996,2507,54791,-4288
