歳計現金等,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和４年度
(A)","令和３年度
(B)","対前年度比
(A-B)"
平均残高,9084,17309,14472,17373,14559,11866,2693
利回り,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0
運用収入,276,721,544,638,2180,1424,756
