準公営企業会計資金,,,,,
,,,,,
,"令和２年度
第3四半期(A)","令和２年度
第2四半期(B)","対前期比
(A-B)","（参考）令和元年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,9501,9638,-137,10396,-895
利回り,0.00008,0.00008,0,0.00008,0
運用収入,1979,1904,75,2042,-63
