基金,,,,,
,,,,,
,"令和５年度
第2四半期(A)","令和５年度
第1四半期(B)","対前期比
(A-B)","（参考）令和４年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,37705,35975,1730,36252,1453
利回り,0.0005,0.00053,-0.003,0.00044,0.006
運用収入,47963,47702,261,40651,7312
