全体,,,,,
,,,,,
,"令和４年度
第1四半期(A)","令和３年度
第4四半期(B)","対前期比
(A-B)","（参考）令和３年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,54394,57291,-2897,58470,-4076
利回り,0.00034,0.0003,0.004,0.00034,0
運用収入,46427,42823,3604,49547,-3120
