全体,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和４年度
(A)","令和３年度
(B)","対前年度比
(A-B)"
平均残高,54394,62323,59075,61476,59318,58328,990
利回り,0.00034,0.00027,0.00032,0.00028,0.0003,0.00032,-0.002
運用収入,46427,43008,47039,42186,178660,185277,-6617
