全体,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和元年度
(A)","平成30年度
(B)","対前年度比
(A-B)"
平均残高,59931,66476,63034,64877,63586,60499,3087
利回り,0.00038,0.00034,0.00038,0.00035,0.00036,0.00039,-0.00003
運用収入,57346,57630,59731,56016,230723,236809,-6086
