図‐2　歳計現金等保管見込表,
,
日付,残高（億円）
2023/4/1,8790.106496
2023/4/2,8790.106496
2023/4/3,8313.306496
2023/4/4,8730.196496
2023/4/5,8588.966496
2023/4/6,8592.966496
2023/4/7,8284.366496
2023/4/8,8284.366496
2023/4/9,8284.366496
2023/4/10,7591.366496
2023/4/11,7902.316496
2023/4/12,6424.526496
2023/4/13,6128.866496
2023/4/14,5003.006496
2023/4/15,5003.006496
2023/4/16,5003.006496
2023/4/17,5152.006496
2023/4/18,5035.246496
2023/4/19,5569.306496
2023/4/20,5238.046496
2023/4/21,4882.446496
2023/4/22,4882.446496
2023/4/23,4882.446496
2023/4/24,4345.656496
2023/4/25,4229.576496
2023/4/26,5938.016496
2023/4/27,5797.766496
2023/4/28,4601.476496
2023/4/29,4601.476496
2023/4/30,4601.476496
2023/5/1,4571.346496
2023/5/2,4750.326496
2023/5/3,4750.326496
2023/5/4,4750.326496
2023/5/5,4750.326496
2023/5/6,4750.326496
2023/5/7,4750.326496
2023/5/8,5073.326496
2023/5/9,5370.066496
2023/5/10,5540.876496
2023/5/11,5556.386496
2023/5/12,4842.346496
2023/5/13,4842.346496
2023/5/14,4842.346496
2023/5/15,4762.146496
2023/5/16,4751.956496
2023/5/17,4647.166496
2023/5/18,4988.726496
2023/5/19,4015.786496
2023/5/20,4015.786496
2023/5/21,4015.786496
2023/5/22,4473.786496
2023/5/23,4424.946496
2023/5/24,4825.136496
2023/5/25,4509.006496
2023/5/26,5791.696496
2023/5/27,5791.696496
2023/5/28,5791.696496
2023/5/29,6284.696496
2023/5/30,-2073.493504
2023/5/31,-661.8635037
2023/6/1,1015.486496
2023/6/2,9854.336496
2023/6/3,9854.336496
2023/6/4,9854.336496
2023/6/5,11377.2865
2023/6/6,11486.2865
2023/6/7,11620.2865
2023/6/8,11665.6365
2023/6/9,11061.8965
2023/6/10,11061.8965
2023/6/11,11061.8965
2023/6/12,11092.8965
2023/6/13,10867.0865
2023/6/14,10994.1565
2023/6/15,10993.3465
2023/6/16,11037.4665
2023/6/17,11037.4665
2023/6/18,11037.4665
