表-１　平均残高見込み,,,,
,,,,
区　分,歳計現金等,基　金,準公営企業会計資金,合　計
４年度実績見込み,"1兆4,200億円","3兆5,800億円","9,000億円","5兆9,000億円"
５年度見込み,"1兆1,000億円","3兆4,300億円","8,900億円","5兆4,200億円"
