全体,,,,,
,,,,,
,"令和3年度
第1四半期(A)","令和2年度
第4四半期(B)","対前期比
(A-B)","（参考）令和2年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,58470,57023,1447,59950,-1480
利回り,0.00034,0.00034,0,0.00037,-0.003
運用収入,49547,47472,2075,55174,-5627
