準公,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和2年度
(A)","令和元年度
(B)","対前年度比
(A-B)"
平均残高,10056,9638,9501,9248,9612,10348,-736
利回り,0.00008,0.00008,0.00008,0.00007,0.00008,0.00008,0
運用収入,1944,1904,1979,1696,7524,7867,-343
