全体,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和2年度
(A)","令和元年度
(B)","対前年度比
(A-B)"
平均残高,59950,61345,56352,57023,58673,63586,-4913
利回り,0.00037,0.00033,0.00037,0.00034,0.00035,0.00036,-0.001
運用収入,55174,50403,52787,47472,205836,230723,-24887
