基金,,,,,
,,,,,
,"令和４年度
第2四半期(A)","令和４年度
第1四半期(B)","対前期比
(A-B)","（参考）令和３年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,36252,35958,294,36958,-706
利回り,0.00044,0.0005,-0.006,0.00046,-0.002
運用収入,40651,44562,-3911,43030,-2379
