基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
２年度第１四半期,,9753,1139,0.117,3615,0.371,328,0.034,3817,0.391,754,0.077,100,0.01
第２四半期,,9819,1067,0.109,3743,0.381,322,0.033,3764,0.383,823,0.084,100,0.01
第３四半期,,9860,1022,0.104,3762,0.382,270,0.027,3807,0.386,899,0.091,100,0.01
第４四半期,,10056,990,0.098,3882,0.386,244,0.024,3867,0.385,972,0.097,100,0.01
３年度第１四半期,,10019,879,0.088,3902,0.389,244,0.024,3846,0.384,1048,0.105,100,0.01
第２四半期,,9978,806,0.081,3843,0.385,244,0.024,3862,0.387,1124,0.113,100,0.01
第３四半期,,9956,756,0.076,3837,0.385,174,0.017,3891,0.391,1198,0.12,100,0.01
