準公,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
元年度第１四半期,,10342,7593,0.734,1600,0.155,430,0.042,719,0.07
第２四半期,,10370,7197,0.694,1585,0.153,430,0.041,1158,0.112
第３四半期,,10396,6677,0.642,1304,0.125,341,0.033,2074,0.199
第４四半期,,10282,6305,0.61321,1328,0.12916,315,0.03064,2335,0.2271
２年度第１四半期,,10056,4842,0.482,1922,0.191,87,0.009,3205,0.319
第２四半期,,9638,3666,0.38,2505,0.26,55,0.006,3411,0.354
