準公営企業会計資金,,,,,
,,,,,
,"令和３年度
第1四半期(A)","令和２年度
第4四半期(B)","対前期比
(A-B)","（参考）令和２年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,8801,9248,-447,10056,-1255
利回り,0.00008,0.00007,0.001,0.00008,0
運用収入,1656,1696,-40,1944,-288
