歳計現金等,,,,,
,"令和２年度
第3四半期(A)","令和２年度
第2四半期(B)","対前期比
(A-B)","（参考）令和元年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,6152,11001,-4849,13323,-7171
利回り,0.00002,0.00002,0,0.00009,-0.007
運用収入,305,503,-198,2897,-2592
