全体,,,,,
,,,,,
,"令和３年度
第2四半期(A)","令和３年度
第1四半期(B)","対前期比
(A-B)","（参考）令和２年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,62907,58470,4437,61345,1562
利回り,0.00029,0.00034,-0.005,0.00033,-0.004
運用収入,45293,49547,-4254,50403,-5110
