歳計現金等,,,,,
,"令和２年度
第２四半期(A)","令和２年度
第１四半期(B)","対前期比
(A-B)","（参考）令和元年度
第２四半期(C)","対前年同期比
(A-C)"
平均残高,11001,10716,285,16234,-5233
利回り,0.00002,0.00004,-0.002,0.00008,-0.006
運用収入,503,1063,-560,3443,-2940
