全体,,,,,
,,,,,
,"令和２年度
第3四半期(A)","令和２年度
第2四半期(B)","対前期比
(A-B)","（参考）令和元年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,56352,61345,-4993,63034,-6682
利回り,0.00037,0.00033,0.004,0.00038,-0.001
運用収入,52787,50403,2384,59731,-6944
