歳計現金等,,,,,
,,,,,
,"令和４年度
第3四半期(A)","令和４年度
第2四半期(B)","対前期比
(A-B)","（参考）令和３年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,14472,17309,-2837,9027,5445
利回り,0.00001,0.00002,-0.001,0.00001,0
運用収入,544,721,-177,245,299
