準公営企業会計資金,,,,,
,,,,,
,"令和２年度
第２四半期(A)","令和２年度
第１四半期(B)","対前期比
(A-B)","（参考）令和元年度
第２四半期(C)","対前年同期比
(A-C)"
平均残高,9638,10056,-418,10370,-732
利回り,0.00008,0.00008,0,0.00007,0.001
運用収入,1904,1944,-40,1936,-32
