歳計現金等,,,,,
,,,,,
,"令和５年度
第2四半期(A)","令和５年度
第1四半期(B)","対前期比
(A-B)","（参考）令和４年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,18708,13576,5132,17309,1399
利回り,0.00002,0.00001,0.001,0.00002,0
運用収入,865,392,473,721,144
