基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
４年度第１四半期,,25766,14377,0.558,5693,0.221,1259,0.049,4436,0.172
第２四半期,,26695,13757,0.515,5937,0.222,2197,0.082,4805,0.18
第３四半期,,26166,12612,0.482,6080,0.232,3219,0.123,4254,0.163
第４四半期,,25733,12091,0.47,6594,0.256,3233,0.126,3815,0.148
５年度第１四半期,,25921,13752,0.531,5928,0.229,3202,0.124,3039,0.117
第２四半期,,27363,12188,0.445,7265,0.266,3252,0.119,4658,0.17
