基金,,,,,,,
,,,,,,,
,"令和４年度
第1四半期(A)","令和３年度
第4四半期(B)","対前期比
(A-B)","（参考）令和３年度
第1四半期(C)","対前年同期比
(A-C)",,
平均残高,35958,36089,-131,40338,-4380,,
利回り,0.0005,0.00046,0.004,0.00047,0.003,,
運用収入,44562,40815,3747,47632,-3070,,
