基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２年度第１四半期,,28654,15430,0.538,5842,0.204,1672,0.058,5711,0.199
第２四半期,,30886,18883,0.611,5382,0.174,1205,0.039,5417,0.175
第３四半期,,30838,19392,0.629,5250,0.17,1205,0.039,4991,0.162
第４四半期,,30418,19268,0.633,5249,0.173,1133,0.037,4768,0.157
３年度第１四半期,,27065,16837,0.622,5755,0.213,1063,0.039,3411,0.126
