準公営企業会計資金,,,,,
,,,,,
,"令和３年度
第2四半期(A)","令和３年度
第1四半期(B)","対前期比
(A-B)","（参考）令和２年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,9007,8801,206,9638,-631
利回り,0.00008,0.00008,0,0.00008,0
運用収入,1738,1656,82,1904,-166
