基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
元年度第１四半期,,30690,15212,0.496,6171,0.201,4234,0.138,5072,0.165
第２四半期,,30525,15366,0.503,6287,0.206,3859,0.126,5012,0.164
第３四半期,,29884,15814,0.529,5950,0.199,3256,0.109,4864,0.163
第４四半期,,29045,15007,0.51668,6195,0.21329,2981,0.10263,4861,0.16736
２年度第１四半期,,28654,15430,0.538,5842,0.204,1672,0.058,5711,0.199
第２四半期,,30886,18883,0.611,5382,0.174,1205,0.039,5417,0.175
第３四半期,,30838,19392,0.629,5250,0.17,1205,0.039,4991,0.162
