基金,,,,,
,,,,,
,"令和３年度
第2四半期(A)","令和３年度
第1四半期(B)","対前期比
(A-B)","（参考）令和２年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,36958,40338,-3380,40707,-3749
利回り,0.00046,0.00047,-0.001,0.00047,-0.001
運用収入,43030,47632,-4602,47996,-4966
