全体,,,,,
,,,,,
,"令和２年度
第1四半期(A)","令和元年度
第4四半期(B)","対前期比
(A-B)","（参考）令和元年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,59950,64877,-4927,59931,19
利回り,0.00037,0.00035,0.002,0.00038,-0.001
運用収入,55174,56016,-842,57346,-2172
