基金,,,,,
,,,,,
,"令和3年度
第1四半期(A)","令和2年度
第4四半期(B)","対前期比
(A-B)","（参考）令和2年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,40338,40475,-137,39178,1160
利回り,0.00047,0.00046,0.001,0.00053,-0.006
運用収入,47632,45438,2194,52167,-4535
