歳計現金等,,,,,
,,,,,
,"令和４年度
第2四半期(A)","令和４年度
第1四半期(B)","対前期比
(A-B)","（参考）令和３年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,17309,9084,8225,16941,368
利回り,0.00002,0.00001,0.001,0.00001,0.001
運用収入,721,276,445,525,196
